Top queries,Last 7 days Clicks,Previous 7 days Clicks,Last 7 days Impressions,Previous 7 days Impressions,Last 7 days CTR,Previous 7 days CTR,Last 7 days Position,Previous 7 days Position
tjm auto care,58,49,418,490,13.88%,10%,2.04,1.87
tjm auto care bandung,12,6,107,160,11.21%,3.75%,1.5,2.01
bengkel kaki kaki mobil terdekat,11,22,2222,2507,0.5%,0.88%,7.4,7.32
tjmautocare,11,10,60,80,18.33%,12.5%,1.85,2.08
tjm auto care bekasi,9,23,166,274,5.42%,8.39%,2.06,1.97
bengkel kaki kaki mobil surabaya,8,9,124,203,6.45%,4.43%,3.7,4.15
tjm auto care surabaya,8,13,95,149,8.42%,8.72%,1.93,1.91
tjm autocare,7,13,73,102,9.59%,12.75%,1.82,1.87
bengkel kaki kaki mobil,6,8,415,680,1.45%,1.18%,7.85,7.4
tjm,6,10,178,181,3.37%,5.52%,3.13,2.22
bengkel kaki kaki mobil palembang,6,5,57,54,10.53%,9.26%,2.6,2.87
tjm auto care balikpapan,5,3,216,199,2.31%,1.51%,4.75,5.5
tjm medan,5,4,43,65,11.63%,6.15%,5.49,5.88
service kaki kaki mobil terdekat,4,6,350,517,1.14%,1.16%,7.01,7.12
bengkel kaki kaki mobil jogja,4,3,160,149,2.5%,2.01%,6.6,4.84
tjm auto care terdekat,4,7,132,163,3.03%,4.29%,2.1,1.98
tjm auto care palembang,4,5,73,85,5.48%,5.88%,1.89,1.75
service kaki kaki mobil,3,6,262,371,1.15%,1.62%,4.34,4.26
bengkel kaki-kaki mobil terdekat,3,1,151,120,1.99%,0.83%,7.26,7.45
tjm auto care medan,3,3,102,138,2.94%,2.17%,5.09,4.5
tjm auto care jakarta barat,3,4,58,99,5.17%,4.04%,3.21,2.67
tjm auto care makassar,3,6,34,84,8.82%,7.14%,1.44,2.2
bengkel kaki kaki mobil samarinda,3,5,31,29,9.68%,17.24%,1.81,2.17
tjm auto care jakarta,3,4,29,47,10.34%,8.51%,2.38,1.89
service kaki kaki mobil banjarmasin,3,3,19,18,15.79%,16.67%,3.95,5.11
tjmautocare bogor,3,0,11,9,27.27%,0%,2.82,2.44
paket service kaki kaki mobil,3,0,5,0,60%,0%,1.6,0
bengkel kaki kaki terdekat,2,0,202,182,0.99%,0%,6.57,5.52
tjm auto care bali,2,7,139,70,1.44%,10%,1.05,1.03
tjm auto care malang,2,4,72,104,2.78%,3.85%,3.08,2.62
bengkel kaki kaki mobil bandung,2,0,65,63,3.08%,0%,6.32,5.81
tjm surabaya,2,6,29,96,6.9%,6.25%,2.14,3.49
tjm auto care cilangkap,2,2,29,33,6.9%,6.06%,2.38,3.06
service kaki-kaki mobil terdekat,2,4,29,52,6.9%,7.69%,7.14,6.44
tjm auto care banjarmasin,2,4,23,64,8.7%,6.25%,2.78,2.31
bengkel kaki kaki mobil banjarmasin,2,1,22,34,9.09%,2.94%,5.14,7.29
tjm auto care depok,2,2,21,24,9.52%,8.33%,2.19,1.96
bengkel tjm,2,2,20,26,10%,7.69%,2.1,2.04
bengkel kaki kaki surabaya,2,3,19,28,10.53%,10.71%,3.05,4.21
bengkel service kaki kaki mobil terdekat,2,0,18,38,11.11%,0%,5.61,7.82
tjm autocare bandung,2,2,14,22,14.29%,9.09%,1.93,2.05
tjmautocare bandung,2,3,11,20,18.18%,15%,2,2.15
bengkel tjm terdekat,2,1,9,9,22.22%,11.11%,1.89,1.78
bengkel kaki-kaki mobil terbaik di palembang,2,2,9,8,22.22%,25%,2.33,2.62
tjm autocare jogja,2,0,5,4,40%,0%,1.4,1
servis kaki kaki mobil palembang,2,0,3,13,66.67%,0%,3,2.69
bengkel kaki kaki,1,2,179,232,0.56%,0.86%,8.9,7.69
bengkel mobil samarinda,1,0,103,70,0.97%,0%,8.36,8.63
tjm auto care samarinda,1,13,100,106,1%,12.26%,2.18,2.13
tjm auto care bogor,1,3,95,125,1.05%,2.4%,2.86,2.57
tjm auto care semarang,1,0,92,152,1.09%,0%,1.17,1.09
bengkel kaki kaki mobil makassar,1,3,56,84,1.79%,3.57%,8.34,5.79
tjm auto care tangerang,1,1,49,63,2.04%,1.59%,2.55,2.56
bengkel kaki mobil,1,0,48,52,2.08%,0%,7.42,8.31
biaya cek kaki kaki mobil,1,0,45,70,2.22%,0%,5.8,6.09
bengkel mobil kaki kaki terdekat,1,1,41,47,2.44%,2.13%,7.12,6.87
tjm auto care penipu,1,0,40,80,2.5%,0%,8.05,6.15
bengkel kaki kaki bandung,1,0,36,36,2.78%,0%,7.61,5.64
perbaikan kaki kaki mobil,1,0,35,42,2.86%,0%,5.97,3.71
tjm auto care balikpapan ulasan,1,0,34,9,2.94%,0%,5.56,5
tjm auto care jogja,1,1,33,48,3.03%,2.08%,1.09,1.08
tjm auto care ciputat,1,2,30,28,3.33%,7.14%,2.67,2.61
service kaki mobil terdekat,1,1,28,22,3.57%,4.55%,3.82,4.77
bengkel kaki kaki mobil terbaik di bekasi,1,1,28,22,3.57%,4.55%,5.43,6
paket tune up mobil,1,2,27,74,3.7%,2.7%,4.78,3.93
service kaki kaki mobil surabaya,1,1,26,42,3.85%,2.38%,4.38,4.36
tjmautocare terdekat,1,1,24,33,4.17%,3.03%,2.04,1.94
service kaki kaki mobil berapa,1,0,23,54,4.35%,0%,7.3,6.91
bengkel cek kaki kaki mobil terdekat,1,0,22,18,4.55%,0%,7.5,8.83
service kaki kaki mobil palembang,1,1,20,24,5%,4.17%,3.15,4.67
bengkel kaki terdekat,1,0,20,17,5%,0%,5.75,4.41
service kaki kaki mobil bandung,1,0,20,20,5%,0%,6.5,5.95
bengkel kaki kaki mobil denpasar,1,2,19,39,5.26%,5.13%,4.63,3.03
tjm auto care medan 2,1,1,18,61,5.56%,1.64%,1.28,2.75
tjm samarinda,1,4,17,32,5.88%,12.5%,1.71,1.78
tjm autocare bekasi,1,0,16,24,6.25%,0%,2.06,1.92
harga cek kaki-kaki mobil,1,0,16,19,6.25%,0%,5.25,5.16
tjmautocare surabaya,1,2,14,10,7.14%,20%,2,2
service shockbreaker mobil bekasi,1,0,14,26,7.14%,0%,4.14,4.77
bengkel kaki kaki bekasi,1,1,14,25,7.14%,4%,4.43,3.28
service kaki kaki,1,1,14,35,7.14%,2.86%,9.14,7.91
tjm auto care jakarta selatan,1,3,13,20,7.69%,15%,2.15,2.55
tjm auto care serpong,1,2,13,29,7.69%,6.9%,2.77,3
bengkel kaki kaki makassar,1,0,13,7,7.69%,0%,4.08,3.57
bengkel.kaki kaki terdekat,1,0,13,10,7.69%,0%,6.69,6.1
tjm cibaduyut,1,0,12,7,8.33%,0%,3.17,2.43
service rack steer bekasi,1,0,12,14,8.33%,0%,3.67,4.36
tjm semarang,1,1,11,18,9.09%,5.56%,1,1.17
tjm bengkel,1,1,10,6,10%,16.67%,1.7,2.83
tjm auto care medan 1,1,0,10,21,10%,0%,2.6,2.1
bengkel kaki-kaki mobil surabaya,1,0,10,13,10%,0%,3.2,4.08
bengkel kaki kaki palembang,1,0,10,11,10%,0%,5.4,4.36
perbaikan kaki kaki mobil berapa,1,0,10,7,10%,0%,8,7.57
servis kaki-kaki mobil,1,0,10,0,10%,0%,8.5,0
tjm autocare surabaya,1,3,9,13,11.11%,23.08%,1.67,1.85
tjm autocare palembang,1,2,9,7,11.11%,28.57%,2,1.86
tjm bandung,1,6,9,19,11.11%,31.58%,2,1.89
tjmautocare bekasi,1,0,8,6,12.5%,0%,2,2
tjm cipayung,1,0,8,12,12.5%,0%,2.38,2.25
tjm bogor,1,3,8,18,12.5%,16.67%,4.75,2.67
bengkel kaki-kaki mobil bandung,1,1,8,14,12.5%,7.14%,5.88,5.71
bengkel tjm samarinda,1,0,7,4,14.29%,0%,1.71,1.75
tjmautocare malang,1,1,7,7,14.29%,14.29%,2.14,2.29
tjm autocare malang,1,0,7,9,14.29%,0%,2.57,2.78
tjm autocare banjarmasin,1,1,6,5,16.67%,20%,2.33,2.4
tjmauto,1,0,6,3,16.67%,0%,3.17,4
tjm auto care tangerang selatan,1,1,5,10,20%,10%,2.2,3
bengkel shockbreaker mobil surabaya,1,0,5,0,20%,0%,5.6,0
servis kaki kaki mobil bandung,1,0,5,14,20%,0%,5.8,5.07
tjm autocare makassar,1,2,4,6,25%,33.33%,1.25,3.33
tjm kaki kaki,1,1,4,11,25%,9.09%,1.75,1.91
tjm auto care semarang reviews,1,0,4,16,25%,0%,2,2.06
tune up mobil diesel,1,0,4,9,25%,0%,2,8
rekomendasi bengkel kaki-kaki mobil jogja,1,0,4,1,25%,0%,7.5,7
lokasi tjm auto care,1,0,3,6,33.33%,0%,2,1.83
bengkel rack steer surabaya,1,1,3,7,33.33%,14.29%,3.33,3.14
